Cromossomo: 0,IDs: [82, 97, 38, 62],Nomes: [Dev82, Dev97, Dev38, Dev62],Fit: [0.81, 0.81, 0.88, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 1,IDs: [45, 8, 29, 46],Nomes: [Dev45, Dev8, Dev29, Dev46],Fit: [0.88, 0.75, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 2,IDs: [81, 28, 27, 85],Nomes: [Dev81, Dev28, Dev27, Dev85],Fit: [0.75, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 3,IDs: [94, 56, 16, 89],Nomes: [Dev94, Dev56, Dev16, Dev89],Fit: [0.75, 0.69, 0.63, 0.75],Nível: [Senior, Junior, Middle, Master],Total Fit: 0.03
Cromossomo: 4,IDs: [53, 17, 7, 311],Nomes: [Dev53, Dev17, Dev7, Dev311],Fit: [0.81, 0.81, 0.88, 0],Nível: [Junior, Senior, Middle, Master],Total Fit: 0.03
Cromossomo: 5,IDs: [47, 65, 48, 136],Nomes: [Dev47, Dev65, Dev48, Dev136],Fit: [0.88, 0.69, 0.88, 0],Nível: [Junior, Senior, Middle, Master],Total Fit: 0.02
Cromossomo: 6,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 7,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 8,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 9,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 10,IDs: [82, 97, 38, 62],Nomes: [Dev82, Dev97, Dev38, Dev62],Fit: [0.81, 0.81, 0.88, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 11,IDs: [45, 8, 27, 85],Nomes: [Dev45, Dev8, Dev27, Dev85],Fit: [0.88, 0.75, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 12,IDs: [56, 48, 65, 89],Nomes: [Dev56, Dev48, Dev65, Dev89],Fit: [0.69, 0.88, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 13,IDs: [81, 28, 29, 46],Nomes: [Dev81, Dev28, Dev29, Dev46],Fit: [0.75, 0.69, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 14,IDs: [82, 97, 38, 62],Nomes: [Dev82, Dev97, Dev38, Dev62],Fit: [0.81, 0.81, 0.88, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 15,IDs: [45, 48, 65, 85],Nomes: [Dev45, Dev48, Dev65, Dev85],Fit: [0.88, 0.88, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 16,IDs: [81, 7, 17, 46],Nomes: [Dev81, Dev7, Dev17, Dev46],Fit: [0.75, 0.88, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 17,IDs: [56, 8, 27, 89],Nomes: [Dev56, Dev8, Dev27, Dev89],Fit: [0.69, 0.75, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 18,IDs: [82, 97, 38, 62],Nomes: [Dev82, Dev97, Dev38, Dev62],Fit: [0.81, 0.81, 0.88, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 19,IDs: [45, 48, 27, 89],Nomes: [Dev45, Dev48, Dev27, Dev89],Fit: [0.88, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 20,IDs: [56, 8, 65, 85],Nomes: [Dev56, Dev8, Dev65, Dev85],Fit: [0.69, 0.75, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 21,IDs: [29, 81, 28, 46],Nomes: [Dev29, Dev81, Dev28, Dev46],Fit: [0.69, 0.75, 0.69, 0.75],Nível: [Senior, Junior, Middle, Master],Total Fit: 0.03
Cromossomo: 22,IDs: [82, 97, 38, 62],Nomes: [Dev82, Dev97, Dev38, Dev62],Fit: [0.81, 0.81, 0.88, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 23,IDs: [45, 48, 65, 85],Nomes: [Dev45, Dev48, Dev65, Dev85],Fit: [0.88, 0.88, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 24,IDs: [104, 7, 94, 46],Nomes: [Dev104, Dev7, Dev94, Dev46],Fit: [0.75, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 25,IDs: [56, 8, 27, 89],Nomes: [Dev56, Dev8, Dev27, Dev89],Fit: [0.69, 0.75, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 26,IDs: [56, 7, 94, 89],Nomes: [Dev56, Dev7, Dev94, Dev89],Fit: [0.69, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.55
Cromossomo: 27,IDs: [82, 97, 38, 62],Nomes: [Dev82, Dev97, Dev38, Dev62],Fit: [0.81, 0.81, 0.88, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 28,IDs: [104, 8, 27, 46],Nomes: [Dev104, Dev8, Dev27, Dev46],Fit: [0.75, 0.75, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.30
Cromossomo: 29,IDs: [81, 28, 85, 29],Nomes: [Dev81, Dev28, Dev85, Dev29],Fit: [0.75, 0.69, 0.75, 0.69],Nível: [Junior, Middle, Master, Senior],Total Fit: 0.03
Cromossomo: 30,IDs: [56, 7, 94, 89],Nomes: [Dev56, Dev7, Dev94, Dev89],Fit: [0.69, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.55
Cromossomo: 31,IDs: [82, 97, 27, 46],Nomes: [Dev82, Dev97, Dev27, Dev46],Fit: [0.81, 0.81, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.31
Cromossomo: 32,IDs: [53, 28, 17, 85],Nomes: [Dev53, Dev28, Dev17, Dev85],Fit: [0.81, 0.69, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 33,IDs: [104, 8, 38, 62],Nomes: [Dev104, Dev8, Dev38, Dev62],Fit: [0.75, 0.75, 0.88, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 34,IDs: [56, 7, 94, 89],Nomes: [Dev56, Dev7, Dev94, Dev89],Fit: [0.69, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.55
Cromossomo: 35,IDs: [53, 28, 27, 46],Nomes: [Dev53, Dev28, Dev27, Dev46],Fit: [0.81, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.48
Cromossomo: 36,IDs: [82, 97, 17, 85],Nomes: [Dev82, Dev97, Dev17, Dev85],Fit: [0.81, 0.81, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 37,IDs: [81, 8, 65, 62],Nomes: [Dev81, Dev8, Dev65, Dev62],Fit: [0.75, 0.75, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 38,IDs: [56, 7, 94, 89],Nomes: [Dev56, Dev7, Dev94, Dev89],Fit: [0.69, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.55
Cromossomo: 39,IDs: [47, 97, 38, 85],Nomes: [Dev47, Dev97, Dev38, Dev85],Fit: [0.88, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.27
Cromossomo: 40,IDs: [53, 8, 65, 46],Nomes: [Dev53, Dev8, Dev65, Dev46],Fit: [0.81, 0.75, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.18
Cromossomo: 41,IDs: [81, 28, 27, 62],Nomes: [Dev81, Dev28, Dev27, Dev62],Fit: [0.75, 0.69, 0.75, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 42,IDs: [53, 97, 38, 46],Nomes: [Dev53, Dev97, Dev38, Dev46],Fit: [0.81, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.68
Cromossomo: 43,IDs: [56, 7, 94, 89],Nomes: [Dev56, Dev7, Dev94, Dev89],Fit: [0.69, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.55
Cromossomo: 44,IDs: [45, 16, 29, 62],Nomes: [Dev45, Dev16, Dev29, Dev62],Fit: [0.88, 0.63, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.54
Cromossomo: 45,IDs: [47, 8, 65, 85],Nomes: [Dev47, Dev8, Dev65, Dev85],Fit: [0.88, 0.75, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 46,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 47,IDs: [53, 97, 38, 46],Nomes: [Dev53, Dev97, Dev38, Dev46],Fit: [0.81, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.68
Cromossomo: 48,IDs: [45, 16, 94, 89],Nomes: [Dev45, Dev16, Dev94, Dev89],Fit: [0.88, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.21
Cromossomo: 49,IDs: [48, 65, 81, 85],Nomes: [Dev48, Dev65, Dev81, Dev85],Fit: [0.88, 0.69, 0.75, 0.75],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.03
Cromossomo: 50,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 51,IDs: [45, 16, 38, 46],Nomes: [Dev45, Dev16, Dev38, Dev46],Fit: [0.88, 0.63, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.22
Cromossomo: 52,IDs: [48, 47, 65, 85],Nomes: [Dev48, Dev47, Dev65, Dev85],Fit: [0.88, 0.88, 0.69, 0.75],Nível: [Middle, Junior, Senior, Master],Total Fit: 0.03
Cromossomo: 53,IDs: [53, 97, 94, 89],Nomes: [Dev53, Dev97, Dev94, Dev89],Fit: [0.81, 0.81, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 54,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 55,IDs: [53, 97, 38, 46],Nomes: [Dev53, Dev97, Dev38, Dev46],Fit: [0.81, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.68
Cromossomo: 56,IDs: [45, 16, 94, 89],Nomes: [Dev45, Dev16, Dev94, Dev89],Fit: [0.88, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.21
Cromossomo: 57,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 58,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 59,IDs: [45, 97, 38, 89],Nomes: [Dev45, Dev97, Dev38, Dev89],Fit: [0.88, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.27
Cromossomo: 60,IDs: [53, 16, 94, 46],Nomes: [Dev53, Dev16, Dev94, Dev46],Fit: [0.81, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.18
Cromossomo: 61,IDs: [82, 8, 27, 85],Nomes: [Dev82, Dev8, Dev27, Dev85],Fit: [0.81, 0.75, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 62,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 63,IDs: [82, 97, 38, 85],Nomes: [Dev82, Dev97, Dev38, Dev85],Fit: [0.81, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.26
Cromossomo: 64,IDs: [45, 8, 27, 89],Nomes: [Dev45, Dev8, Dev27, Dev89],Fit: [0.88, 0.75, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 65,IDs: [17, 16, 55, 46],Nomes: [Dev17, Dev16, Dev55, Dev46],Fit: [0.81, 0.63, 0.69, 0.75],Nível: [Senior, Middle, Junior, Master],Total Fit: 0.03
Cromossomo: 66,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 67,IDs: [53, 16, 17, 46],Nomes: [Dev53, Dev16, Dev17, Dev46],Fit: [0.81, 0.63, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.18
Cromossomo: 68,IDs: [45, 8, 38, 85],Nomes: [Dev45, Dev8, Dev38, Dev85],Fit: [0.88, 0.75, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 69,IDs: [82, 97, 27, 89],Nomes: [Dev82, Dev97, Dev27, Dev89],Fit: [0.81, 0.81, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 70,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 71,IDs: [53, 8, 38, 46],Nomes: [Dev53, Dev8, Dev38, Dev46],Fit: [0.81, 0.75, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.41
Cromossomo: 72,IDs: [45, 16, 17, 85],Nomes: [Dev45, Dev16, Dev17, Dev85],Fit: [0.88, 0.63, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.21
Cromossomo: 73,IDs: [104, 48, 94, 89],Nomes: [Dev104, Dev48, Dev94, Dev89],Fit: [0.75, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 74,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 75,IDs: [81, 28, 27, 46],Nomes: [Dev81, Dev28, Dev27, Dev46],Fit: [0.75, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.29
Cromossomo: 76,IDs: [45, 16, 94, 89],Nomes: [Dev45, Dev16, Dev94, Dev89],Fit: [0.88, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.21
Cromossomo: 77,IDs: [104, 48, 17, 85],Nomes: [Dev104, Dev48, Dev17, Dev85],Fit: [0.75, 0.88, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 78,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 79,IDs: [45, 16, 27, 46],Nomes: [Dev45, Dev16, Dev27, Dev46],Fit: [0.88, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.66
Cromossomo: 80,IDs: [81, 28, 94, 89],Nomes: [Dev81, Dev28, Dev94, Dev89],Fit: [0.75, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 81,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 82,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 83,IDs: [81, 16, 27, 89],Nomes: [Dev81, Dev16, Dev27, Dev89],Fit: [0.75, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 84,IDs: [45, 28, 94, 46],Nomes: [Dev45, Dev28, Dev94, Dev46],Fit: [0.88, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 85,IDs: [104, 8, 17, 85],Nomes: [Dev104, Dev8, Dev17, Dev85],Fit: [0.75, 0.75, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 86,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 87,IDs: [104, 16, 27, 85],Nomes: [Dev104, Dev16, Dev27, Dev85],Fit: [0.75, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 88,IDs: [47, 48, 65, 46],Nomes: [Dev47, Dev48, Dev65, Dev46],Fit: [0.88, 0.88, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 89,IDs: [81, 8, 17, 89],Nomes: [Dev81, Dev8, Dev17, Dev89],Fit: [0.75, 0.75, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 90,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 91,IDs: [47, 16, 27, 46],Nomes: [Dev47, Dev16, Dev27, Dev46],Fit: [0.88, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.45
Cromossomo: 92,IDs: [104, 48, 65, 85],Nomes: [Dev104, Dev48, Dev65, Dev85],Fit: [0.75, 0.88, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 93,IDs: [81, 28, 17, 89],Nomes: [Dev81, Dev28, Dev17, Dev89],Fit: [0.75, 0.69, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 94,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 95,IDs: [104, 97, 38, 85],Nomes: [Dev104, Dev97, Dev38, Dev85],Fit: [0.75, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.26
Cromossomo: 96,IDs: [81, 16, 27, 89],Nomes: [Dev81, Dev16, Dev27, Dev89],Fit: [0.75, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 97,IDs: [47, 28, 17, 46],Nomes: [Dev47, Dev28, Dev17, Dev46],Fit: [0.88, 0.69, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 98,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 99,IDs: [104, 97, 27, 89],Nomes: [Dev104, Dev97, Dev27, Dev89],Fit: [0.75, 0.81, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 100,IDs: [81, 16, 38, 85],Nomes: [Dev81, Dev16, Dev38, Dev85],Fit: [0.75, 0.63, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 101,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 102,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 103,IDs: [81, 97, 27, 85],Nomes: [Dev81, Dev97, Dev27, Dev85],Fit: [0.75, 0.81, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 104,IDs: [104, 16, 38, 89],Nomes: [Dev104, Dev16, Dev38, Dev89],Fit: [0.75, 0.63, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 105,IDs: [55, 28, 94, 46],Nomes: [Dev55, Dev28, Dev94, Dev46],Fit: [0.69, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 106,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 107,IDs: [55, 97, 27, 46],Nomes: [Dev55, Dev97, Dev27, Dev46],Fit: [0.69, 0.81, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.30
Cromossomo: 108,IDs: [53, 16, 38, 89],Nomes: [Dev53, Dev16, Dev38, Dev89],Fit: [0.81, 0.63, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.21
Cromossomo: 109,IDs: [81, 28, 94, 85],Nomes: [Dev81, Dev28, Dev94, Dev85],Fit: [0.75, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 110,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 111,IDs: [53, 16, 27, 46],Nomes: [Dev53, Dev16, Dev27, Dev46],Fit: [0.81, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.62
Cromossomo: 112,IDs: [55, 97, 38, 89],Nomes: [Dev55, Dev97, Dev38, Dev89],Fit: [0.69, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.25
Cromossomo: 113,IDs: [8, 81, 85, 65],Nomes: [Dev8, Dev81, Dev85, Dev65],Fit: [0.75, 0.75, 0.75, 0.69],Nível: [Middle, Junior, Master, Senior],Total Fit: 0.03
Cromossomo: 114,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 115,IDs: [53, 97, 38, 46],Nomes: [Dev53, Dev97, Dev38, Dev46],Fit: [0.81, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.68
Cromossomo: 116,IDs: [55, 16, 27, 89],Nomes: [Dev55, Dev16, Dev27, Dev89],Fit: [0.69, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 117,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 118,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 119,IDs: [53, 97, 27, 89],Nomes: [Dev53, Dev97, Dev27, Dev89],Fit: [0.81, 0.81, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 120,IDs: [55, 16, 38, 46],Nomes: [Dev55, Dev16, Dev38, Dev46],Fit: [0.69, 0.63, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 121,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 122,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 123,IDs: [53, 97, 38, 46],Nomes: [Dev53, Dev97, Dev38, Dev46],Fit: [0.81, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.68
Cromossomo: 124,IDs: [81, 28, 65, 85],Nomes: [Dev81, Dev28, Dev65, Dev85],Fit: [0.75, 0.69, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 125,IDs: [55, 16, 27, 89],Nomes: [Dev55, Dev16, Dev27, Dev89],Fit: [0.69, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 126,IDs: [56, 7, 29, 62],Nomes: [Dev56, Dev7, Dev29, Dev62],Fit: [0.69, 0.88, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 2.25
Cromossomo: 127,IDs: [53, 16, 27, 46],Nomes: [Dev53, Dev16, Dev27, Dev46],Fit: [0.81, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.62
Cromossomo: 128,IDs: [55, 97, 38, 89],Nomes: [Dev55, Dev97, Dev38, Dev89],Fit: [0.69, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.25
