Cromossomo: 0,IDs: [47, 28, 29, 62],Nomes: [Dev47, Dev28, Dev29, Dev62],Fit: [0.83, 0.75, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.35
Cromossomo: 1,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 2,IDs: [89, 17, 97, 56],Nomes: [Dev89, Dev17, Dev97, Dev56],Fit: [0.83, 0.75, 0.75, 0.75],Nível: [Master, Senior, Middle, Junior],Total Fit: 0.03
Cromossomo: 3,IDs: [104, 8, 38, 85],Nomes: [Dev104, Dev8, Dev38, Dev85],Fit: [0.58, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 4,IDs: [47, 28, 29, 62],Nomes: [Dev47, Dev28, Dev29, Dev62],Fit: [0.83, 0.75, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.35
Cromossomo: 5,IDs: [45, 269, 27, 327],Nomes: [Dev45, Dev269, Dev27, Dev327],Fit: [0.6844691455915096, 0.83, 0.7605427603529108, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 6,IDs: [104, 8, 38, 85],Nomes: [Dev104, Dev8, Dev38, Dev85],Fit: [0.657148812067746, 0.7908394531487702, 0.8149899532886655, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 7,IDs: [82, 16, 94, 46],Nomes: [Dev82, Dev16, Dev94, Dev46],Fit: [0.75, 0.58, 0.67, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 8,IDs: [45, 7, 94, 402],Nomes: [Dev45, Dev7, Dev94, Dev402],Fit: [0.7053532211002268, 0.92, 0.695719900622805, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.38
Cromossomo: 9,IDs: [47, 28, 29, 62],Nomes: [Dev47, Dev28, Dev29, Dev62],Fit: [0.83, 0.75, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.35
Cromossomo: 10,IDs: [82, 269, 27, 327],Nomes: [Dev82, Dev269, Dev27, Dev327],Fit: [0.7257800821337869, 0.8211165310006319, 0.7335947507285303, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 11,IDs: [16, 65, 89, 53],Nomes: [Dev16, Dev65, Dev89, Dev53],Fit: [0.58, 0.58, 0.83, 0.58],Nível: [Middle, Senior, Master, Junior],Total Fit: 0.03
Cromossomo: 12,IDs: [45, 7, 94, 402],Nomes: [Dev45, Dev7, Dev94, Dev402],Fit: [0.7053532211002268, 0.92, 0.695719900622805, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.38
Cromossomo: 13,IDs: [82, 367, 27, 46],Nomes: [Dev82, Dev367, Dev27, Dev46],Fit: [0.83, 0.75, 0.7336877090318354, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.31
Cromossomo: 14,IDs: [53, 48, 38, 89],Nomes: [Dev53, Dev48, Dev38, Dev89],Fit: [0.58, 0.92, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.22
Cromossomo: 15,IDs: [47, 269, 29, 327],Nomes: [Dev47, Dev269, Dev29, Dev327],Fit: [0.8040541308358999, 0.8080083312131865, 0.7478336220607242, 0.7490680790045334],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 16,IDs: [45, 7, 94, 402],Nomes: [Dev45, Dev7, Dev94, Dev402],Fit: [0.7053532211002268, 0.92, 0.695719900622805, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.38
Cromossomo: 17,IDs: [53, 48, 27, 89],Nomes: [Dev53, Dev48, Dev27, Dev89],Fit: [0.5934405951059392, 0.8424851339961194, 0.7588178866707834, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 18,IDs: [82, 181, 38, 211],Nomes: [Dev82, Dev181, Dev38, Dev211],Fit: [0.7569537511973221, 0.92, 0.7960821167172836, 1.00],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.07
Cromossomo: 19,IDs: [55, 46, 17, 16],Nomes: [Dev55, Dev46, Dev17, Dev16],Fit: [0.75, 0.83, 0.75, 0.58],Nível: [Junior, Master, Senior, Middle],Total Fit: 0.03
Cromossomo: 20,IDs: [45, 7, 94, 402],Nomes: [Dev45, Dev7, Dev94, Dev402],Fit: [0.7053532211002268, 0.92, 0.695719900622805, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.38
Cromossomo: 21,IDs: [53, 181, 27, 211],Nomes: [Dev53, Dev181, Dev27, Dev211],Fit: [0.6299498234395114, 0.9005960374595614, 0.7632105163088323, 0.940313532973779],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 22,IDs: [144, 48, 38, 211],Nomes: [Dev144, Dev48, Dev38, Dev211],Fit: [0.75, 0.8562318903414075, 0.7900808939085314, 0.9189847497262966],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.07
Cromossomo: 23,IDs: [8, 104, 46, 65],Nomes: [Dev8, Dev104, Dev46, Dev65],Fit: [0.75, 0.58, 0.83, 0.58],Nível: [Middle, Junior, Master, Senior],Total Fit: 0.03
Cromossomo: 24,IDs: [45, 7, 94, 402],Nomes: [Dev45, Dev7, Dev94, Dev402],Fit: [0.7053532211002268, 0.92, 0.695719900622805, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.38
Cromossomo: 25,IDs: [53, 48, 27, 211],Nomes: [Dev53, Dev48, Dev27, Dev211],Fit: [0.661849478870755, 0.8563202690391438, 0.7685745688048371, 0.9212214344349435],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.26
Cromossomo: 26,IDs: [82, 8, 29, 89],Nomes: [Dev82, Dev8, Dev29, Dev89],Fit: [0.75, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.18
Cromossomo: 27,IDs: [144, 181, 38, 211],Nomes: [Dev144, Dev181, Dev38, Dev211],Fit: [0.7247859536908285, 0.92, 0.7877106673921499, 0.9332673542592153],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.07
Cromossomo: 28,IDs: [45, 7, 94, 402],Nomes: [Dev45, Dev7, Dev94, Dev402],Fit: [0.7053532211002268, 0.92, 0.695719900622805, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.38
Cromossomo: 29,IDs: [82, 48, 29, 89],Nomes: [Dev82, Dev48, Dev29, Dev89],Fit: [0.7221315759282654, 0.8550225461469401, 0.7524783174512326, 0.8487305953806866],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.19
Cromossomo: 30,IDs: [53, 181, 351, 211],Nomes: [Dev53, Dev181, Dev351, Dev211],Fit: [0.6905679916755975, 0.92, 0.92, 1.00],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.07
Cromossomo: 31,IDs: [56, 16, 17, 85],Nomes: [Dev56, Dev16, Dev17, Dev85],Fit: [0.75, 0.58, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 32,IDs: [200, 16, 351, 85],Nomes: [Dev200, Dev16, Dev351, Dev85],Fit: [0.83, 0.6680267247867933, 0.92, 0.8344674411404474],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.49
Cromossomo: 33,IDs: [45, 7, 94, 402],Nomes: [Dev45, Dev7, Dev94, Dev402],Fit: [0.7053532211002268, 0.92, 0.695719900622805, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.38
Cromossomo: 34,IDs: [56, 48, 29, 89],Nomes: [Dev56, Dev48, Dev29, Dev89],Fit: [0.7370754711523368, 0.805626611039861, 0.752332512462998, 0.845862675209816],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.19
Cromossomo: 35,IDs: [81, 8, 62, 65],Nomes: [Dev81, Dev8, Dev62, Dev65],Fit: [0.83, 0.75, 0.58, 0.58],Nível: [Junior, Middle, Master, Senior],Total Fit: 0.03
Cromossomo: 36,IDs: [445, 7, 94, 402],Nomes: [Dev445, Dev7, Dev94, Dev402],Fit: [0.92, 0.9051161811904584, 0.7150392379442796, 0.8364931675670225],Nível: [Junior, Middle, Senior, Master],Total Fit: 1.42
Cromossomo: 37,IDs: [200, 16, 351, 85],Nomes: [Dev200, Dev16, Dev351, Dev85],Fit: [0.83, 0.6680267247867933, 0.92, 0.8344674411404474],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.49
Cromossomo: 38,IDs: [47, 97, 38, 46],Nomes: [Dev47, Dev97, Dev38, Dev46],Fit: [0.83, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.26
Cromossomo: 39,IDs: [45, 48, 29, 89],Nomes: [Dev45, Dev48, Dev29, Dev89],Fit: [0.7166571739983512, 0.8509449964691036, 0.7499872627562979, 0.8410645918566283],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 40,IDs: [445, 7, 94, 402],Nomes: [Dev445, Dev7, Dev94, Dev402],Fit: [0.92, 0.9051161811904584, 0.7150392379442796, 0.8364931675670225],Nível: [Junior, Middle, Senior, Master],Total Fit: 1.42
Cromossomo: 41,IDs: [55, 28, 27, 46],Nomes: [Dev55, Dev28, Dev27, Dev46],Fit: [0.75, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.31
