Cromossomo: 0,IDs: [45, 28, 27, 46],Nomes: [Dev45, Dev28, Dev27, Dev46],Fit: [0.89, 0.67, 0.72, 0.72],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.30
Cromossomo: 1,IDs: [56, 48, 38, 62],Nomes: [Dev56, Dev48, Dev38, Dev62],Fit: [0.67, 0.83, 0.89, 0.61],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.18
Cromossomo: 2,IDs: [97, 65, 89, 82],Nomes: [Dev97, Dev65, Dev89, Dev82],Fit: [0.83, 0.67, 0.72, 0.78],Nível: [Middle, Senior, Master, Junior],Total Fit: 0.03
Cromossomo: 3,IDs: [94, 85, 16, 55],Nomes: [Dev94, Dev85, Dev16, Dev55],Fit: [0.72, 0.72, 0.61, 0.67],Nível: [Senior, Master, Middle, Junior],Total Fit: 0.03
Cromossomo: 4,IDs: [104, 7, 17, 136],Nomes: [Dev104, Dev7, Dev17, Dev136],Fit: [0.72, 0.83, 0.78, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.02
Cromossomo: 5,IDs: [81, 8, 29, 198],Nomes: [Dev81, Dev8, Dev29, Dev198],Fit: [0.72, 0.72, 0.67, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.02
Cromossomo: 6,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 7,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 8,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 9,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 10,IDs: [45, 28, 27, 46],Nomes: [Dev45, Dev28, Dev27, Dev46],Fit: [0.89, 0.67, 0.72, 0.72],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.30
Cromossomo: 11,IDs: [56, 8, 29, 198],Nomes: [Dev56, Dev8, Dev29, Dev198],Fit: [0.67, 0.72, 0.67, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 12,IDs: [81, 48, 38, 62],Nomes: [Dev81, Dev48, Dev38, Dev62],Fit: [0.72, 0.83, 0.89, 0.61],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 13,IDs: [104, 7, 65, 89],Nomes: [Dev104, Dev7, Dev65, Dev89],Fit: [0.72, 0.83, 0.67, 0.72],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 14,IDs: [104, 7, 38, 62],Nomes: [Dev104, Dev7, Dev38, Dev62],Fit: [0.72, 0.83, 0.89, 0.61],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.55
Cromossomo: 15,IDs: [45, 28, 27, 46],Nomes: [Dev45, Dev28, Dev27, Dev46],Fit: [0.89, 0.67, 0.72, 0.72],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.30
Cromossomo: 16,IDs: [81, 48, 65, 89],Nomes: [Dev81, Dev48, Dev65, Dev89],Fit: [0.72, 0.83, 0.67, 0.72],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 17,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 18,IDs: [104, 7, 38, 62],Nomes: [Dev104, Dev7, Dev38, Dev62],Fit: [0.72, 0.83, 0.89, 0.61],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.55
Cromossomo: 19,IDs: [81, 48, 27, 46],Nomes: [Dev81, Dev48, Dev27, Dev46],Fit: [0.72, 0.83, 0.72, 0.72],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.42
Cromossomo: 20,IDs: [45, 28, 65, 89],Nomes: [Dev45, Dev28, Dev65, Dev89],Fit: [0.89, 0.67, 0.67, 0.72],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.15
Cromossomo: 21,IDs: [47, 85, 17, 97],Nomes: [Dev47, Dev85, Dev17, Dev97],Fit: [0.83, 0.72, 0.78, 0.83],Nível: [Junior, Master, Senior, Middle],Total Fit: 0.03
